17a36fd9dc	In the adult central nervous system (CNS), @CHEMICAL$ and SPM are accumulated predominantly in healthy adult @CELL$ where PA synthesis is not present.	stores
8b14d7502a	The importance of the glucose metabolism for a successful pregnancy is indicated by the @CHEMICAL$ storage in endometrial @CELL$ during the implantation period, more precisely in the mid-secretory phase.	stores
06859f9544	NAFLD refers to the presence of excess fat in the liver, i.e., hepatic steatosis, when more than 5% accumulation of @CHEMICAL$ occurs in the @CELL$.	stores
e520feb33f	But this hypothesis is plausible because the related product ochnaflavone presents a @CELL$ immunoregulatory activity, resulting in the production of @CHEMICAL$ and IL-10 cytokines and suppression of IFN-γ and IL-2 cytokines in a mouse model of fungal (Candida) arthritis.	secretes
1e2dc1adbd	Human @CELL$ were pre-incubated with @CHEMICAL$ (30 ng/mL) or placebo for 1 hour prior to mixing them with irradiated (30 Gy) autologous or allogeneic monocytes or placebo.	other
aa821f51c2	Our results are consistent with experiments on endothelial cell cultures that have shown that quiescent @CELL$ accumulate @CHEMICAL$, although to a lesser extent than proliferating endothelial cells.	stores
59a152021b	At baseline, @CELL$ are capable of generating ATP through complete oxidation of @CHEMICAL$ to CO2 via glycolysis, but in a healthy state, were found to favor oxidative pathways, like the TCA cycle and OXPHOS.	metabolizes
73dc01a4e0	The vigilance-promoting drug modafinil counteracts the reduction of tyrosine hydroxylase immunoreactivity and of @CHEMICAL$ stores in nigrostriatal dopamine @CELL$ in the male rat after a partial transection of the dopamine pathway.	stores
f7eec501c7	All @CELL$ exposed to @CHEMICAL$ exhibited a decrease in diameter and S/V ratio, which is driven by a lower cell surface area and volume.	responds_to
46a769eddb	Since no FJX1 epitope was available for a tetramer, the @CELL$ responses were analysed by @CHEMICAL$ ELISpot using OPP for the entire antigenic sequence.	responds_to
3f1331e7a4	Transplantation of MSCs and @CHEMICAL$ preconditioned @CELL$ significantly improved EF and FS and decreased infarct size compared with those in I/R group after reperfusion for 3 d.	responds_to
6817184a8b	Necrotic, ballooned, and degenerated @CELL$ with @CHEMICAL$ retention presented as gray/brown/black dots in CP (10–70% L), HZ (50%), EB, PF (60%), EM (60%), BLP, and HFMD (80%).	stores
6f988ae6b8	On the other hand, PC synthesis is dependent on the ER and Golgi membranes in most tissues, although the liver and @CELL$ are capable of methylating @CHEMICAL$ to PC in ER-mitochondria membrane domains.	metabolizes
654c63b2ee	In human @CELL$, COX-2 pre-treated with aspirin or atorvastatin metabolizes omega-3s, @CHEMICAL$ and clupanodonic acid (DPAn-3), to 13S-hydroperoxy forms.	metabolizes
cebf24ae13	@CHEMICAL$ is generated by nociceptive @CELL$ and its release to the spinal cord causes spinal central sensitization, a hallmark of pain.	secretes
f2c535e315	@CHEMICAL$ protects @CELL$ against MPTP-induced apoptotic death and motor dysfunction by ameliorating mitochondrial disruption and oxidative stress	responds_to
340882367f	HDC expression is limited to a few cell types: @CHEMICAL$-storing cells (i.e., mast cells, @CELL$, parietal gastric cells and neurons) and cells that synthetize histamine but cannot store it in specialized vesicles—that is other immune cells such as macrophages, eosinophils and platelets, and several types of cancer cells).	stores
f142773618	Periodontitis caused increase in the E) FC and F) in the @CHEMICAL$ storage into @CELL$ compared with hepatocytes from the control group.	stores
d15cb13daf	Insects store energy reserves in the form of @CHEMICAL$ and triglycerides in the @CELL$, the main fat body cell.	stores
1476d84c43	@CELL$ and chondrocytes secrete pro-inflammatory substances (IL-1, IL-6, TNF-α), neuropeptides (NGF), mediators (NO and @CHEMICAL$), and MMPs.	secretes
003ddbf671	The hypothalamus contains several key neuropeptides-expressing neurons, such as gonadotropin-releasing hormone (GnRH) and @CELL$ that are crucial for the release of the gonadotropin’s (GTHs) @CHEMICAL$ (FSH) and luteinizing hormone (LH).	secretes
de313e502c	@CHEMICAL$ (hCG) (Livzon, Guangdong, China) was administered to induce @CELL$ maturation and ovulation when at least two lead follicles have reached ≥ 1.8 cm and serum E2 level match the size and numbers of lead follicles.	responds_to
03a733b369	In the current study, we show that LN has no deleterious effects on cell viability at concentrations up to 150 µM (Figure 1b and Figure S2), and that this dose range prevents the @CHEMICAL$-induced inflammatory response in @CELL$, as evidenced by suppression of NF-κB signaling and concomitant downregulation of proinflammatory cytokines (IL-6 and TNF-α) and inflammatory enzymes (COX-2 and iNOS).	responds_to
2ef97a1890	Podocytes (specialized glomerular @CELL$) can take up hemoglobin and transferrin via the megalin-cubilin complex mediated endocytosis and store the taken-up @CHEMICAL$ in ferritin.	stores
b43a6447ec	(A) @CELL$ with functional KHK can metabolize @CHEMICAL$ through fructolysis and this can contribute to liver steatosis and adiposity.	metabolizes
